listing-title,agent,area,district,sub-district,land-size,bedroom,bathroom,listing-price,cluster
dijual jual cepat cluster aquamarine,vonni ,Gading Serpong,Serpong,Serpong,420,5,5,6900000000.0,1
dijual jual cepat cluster alexandrite,vonni ,Gading Serpong,Serpong,Serpong,190,3,3,4500000000.0,2
dijual jual cepat cluster vivaldi,vonni ,Gading Serpong,Serpong,Serpong,132,3,3,3950000000.0,0
dijual jual cepat cluster starling,vonni ,Gading Serpong,Serpong,Serpong,220,4,3,3300000000.0,2
dijual jual cepat cluster newton,vonni ,Gading Serpong,Serpong,Serpong,180,3,2,3500000000.0,2
dijual jual cepat rumah di bsd city,vonni ,Gading Serpong,Serpong,Serpong,194,5,4,4500000000.0,2
dijual jual cepat cluster fiordini,vonni ,Gading Serpong,Serpong,Serpong,160,4,3,4500000000.0,2
dijual jual cepat cluster alexandrite,vonni ,Gading Serpong,Serpong,Serpong,190,3,3,4500000000.0,2
dijual jual cepat cluster chaceldony,vonni ,Gading Serpong,Serpong,Serpong,120,3,3,4500000000.0,0
dijual jual cepat cluster naturale foresta,vonni ,BSD,,,140,5,4,2200000000.0,0
dijual aria rempoa,erick malko ,Bintaro,,Bintaro,112,4,3,2732000000.0,0
dijual jual cepat rumah cluster darwin,vonni ,Gading Serpong,Serpong,Serpong,200,5,3,3100000000.0,2
dijual jual cepat rumh sekto 7c,vonni ,Gading Serpong,Serpong,Serpong,150,4,4,2500000000.0,0
dijual jual cepat rumah alam sutera,vonni ,Alam Sutera,,,400,4,4,4700000000.0,2
dijual jual cepat rumah cluster edison,vonni ,Gading Serpong,Serpong,Serpong,128,5,4,2350000000.0,0
dijual jual cepat cluster edision,vonni ,Gading Serpong,Serpong,Serpong,128,4,3,2500000000.0,0
dijual jual cepat rumah kencana loka bsd,vonni ,BSD,,,100,3,2,2400000000.0,0
dijual jual cepet cluster flaminggo,vonni ,Gading Serpong,Serpong,Serpong,160,3,3,3250000000.0,0
dijual rumah dijual bagus dua lantai di graha raya bintaro,amalia ,Bintaro,,Bintaro,150,3,2,1900000000.0,0
dijual dijual rumah sektor 8b,vonni ,Gading Serpong,Serpong,Serpong,60,2,1,950000000.0,0
dijual dijual cepat rumah di sektor gading serpong,vonni ,Gading Serpong,Serpong,Serpong,36,2,1,875000000.0,0
dijual dijual cepat rumah cluster verdi,vonni ,Gading Serpong,Serpong,Serpong,100,3,2,2000000000.0,0
dijual jual cepat rumah cluster turquoise,vonni ,Gading Serpong,Serpong,Serpong,135,4,2,2500000000.0,0
dijual jual cepat rumah cluster trimezia,vonni ,Gading Serpong,Serpong,Serpong,240,3,3,3000000000.0,2
dijual jual cepat cluster flamingo,vonni ,Gading Serpong,Serpong,Serpong,130,5,4,3500000000.0,0
dijual jual cepat cluster amethyst,vonni ,Gading Serpong,Serpong,Serpong,308,5,7,7500000000.0,2
dijual dijual cepat rumah di sektor 1c,vonni ,Gading Serpong,Serpong,Serpong,126,2,2,1550000000.0,0
dijual dijual cepat rumah di gading serpong,vonni ,Gading Serpong,Serpong,Serpong,349,4,4,6900000000.0,2
dijual jual cepat rumah di sektor 6,vonni ,Gading Serpong,Serpong,Serpong,50,2,1,900000000.0,0
dijual dijual cepat rumah sektor 1a,vonni ,Gading Serpong,Serpong,Serpong,157,4,3,3850000000.0,2
dijual jual cepat cluster gading serpong,vonni ,Gading Serpong,Serpong,Serpong,135,3,3,3200000000.0,0
dijual precia the eminent bsd,deven baldwin ,BSD,,,144,4,4,3000000000.0,0
dijual jual cepat rumah mewah di rawa buntu,vonni ,Serpong,Serpong,Serpong,600,6,5,5500000000.0,1
dijual jual cepat rumah di vanya park,vonni ,BSD,,,90,3,2,990000000.0,0
dijual dijual cepat rumah di greenwich,vonni ,Gading Serpong,Serpong,Serpong,120,5,3,1950000000.0,0
dijual jual cepat rumah rainbow spring condo villa gs,vonni ,Gading Serpong,Serpong,Serpong,105,4,3,2550000000.0,0
dijual dijual cepat rumah cluster berryl,vonni ,Gading Serpong,Serpong,Serpong,120,3,3,2500000000.0,0
dijual rumah siap huni emerald bintaro sektor 9 wd31391,widya suci ,Bintaro,,Bintaro,89,3,3,2350000000.0,0
dijual rumah di graha raya carissa tangerang selatan lt 108m2 11,nia utania ,Serpong,Serpong,Serpong Utara,90,2,1,1700000000.0,0
dijual dijual cepat rumah cantik terawat 2 5 lantai di cluster graha raya bintaro,kristiyanti ,Bintaro,,Bintaro,150,5,4,1850000000.0,0
dijual rumah dijual posisi hook puri bintaro sektor 9,kristiyanti ,Bintaro,,Bintaro,180,5,4,3850000000.0,2
dijual dijual rumah luas dan furnished di cluster favorite graha raya bintaro,kristiyanti ,Bintaro,,Bintaro,365,6,4,4900000000.0,2
dijual dijual rumah murah carport 2 mobil di bintaro,kristiyanti ,Bintaro,,Bintaro,50,2,1,675000000.0,0
dijual dijual rumah nyaman dan aman semi furnish di cluster graha raya bintaro,kristiyanti ,Bintaro,,Bintaro,150,5,4,1800000000.0,0
dijual strozzi symphonia summarecon rumah 3 lantai full attic di gading serpong,dita paramitha anggraini ,BSD,Serpong,Serpong,92,4,3,2495000000.0,0
dijual dijual rumah minimalis second lokasi strategis harga all in,dwi danaputra masli ,Serpong,Serpong,Serpong,41,2,1,1090000000.0,0
dijual rumah murah tanya luas di jalan pandawa pamulang dp 0 banyak bonus dan rewardnya,ahmad yusuf lubis ,Pamulang,Pamulang,,69,3,3,900000000.0,0
dijual rumah ready siap huni lokasi pamuoang tangerang selatan,ahmad yusuf lubis ,Pamulang,Pamulang,Benda,38,2,1,535000000.0,0
dijual rumah murah kpr cicilan 4 jutaan di pamulang dekat pasar dekat pusat perbelanjaan di pamulang,ahmad yusuf lubis ,Pamulang,Pamulang,Benda,38,2,1,535000000.0,0
dijual rumah minimalis murah di pamulang tangerang selatan harga di bawah pasar,ahmad yusuf lubis ,Pamulang,Pamulang,Benda,38,2,1,535000000.0,0
dijual rumah murah di serpong paradise city hanya 500 jutaan mojoo residence serpong,bunga salsabila ,Serpong,Serpong,Serpong,55,3,2,500000000.0,0
dijual dijual rumah modern di area bintaro dekat stasiun sudimara,sabar ,Bintaro,Ciputat,Ciputat,94,0,0,1430000000.0,0
dijual rumah minimalis kekinian murah cicilan mulai 5jutaan di pamulang,ahmad yusuf lubis ,Pamulang,Pamulang,,65,3,2,899000000.0,0
dijual dijual rumah bagus luas dan furnished di cluster favorite bsd,kristiyanti ,BSD,,,185,4,4,5200000000.0,2
dijual rumah bsd city murah dan jual cepat sudah renovasi dan siap huni di alegria park,laurentius hery ,BSD,,,130,3,2,2200000000.0,0
dijual di jual rumah baru di nusaloka bsd tangerang selatan,sandra ,BSD,,,130,3,2,1925000000.0,0
dijual rumah dijual dalam cluster kecil di pondok aren tangsel,hersat ,,Pondok Aren,Pondok Aren,50,2,1,890000000.0,0
dijual perumahan foresta bsd kode101,fifi ,BSD,,,255,3,3,4100000000.0,2
dijual bsd rumah 2 lantai termurah hanya 500 jutaan dekat stasiun mojoo residence serpong,bunga salsabila ,BSD,,,55,3,2,500000000.0,0
dijual dijual rumah bagus 2 lt siap huni di area bintaro sektor 9 bintaro jaya tangsel ls tanah 96 m,jodi ,Bintaro,,Bintaro,90,3,2,1550000000.0,0
dijual dijual cepat rumah harga murah di bintaro,kristiyanti ,Bintaro,,Bintaro,75,2,1,700000000.0,0
dijual rumah murah di rempoa dekat ke jaksel dan stasiun mrt lebak bulus,jodi ,,Ciputat,Ciputat,300,5,3,2900000000.0,2
dijual rumah dijual u ville bintaro dekat stasiun jurangmangu dan kampus upj,jodi ,,Ciputat,Ciputat,33,2,1,1200000000.0,0
dijual villa gunung lestari jombang ciputat kota tangsel,zatu shabrina badlyn ,,Ciputat,Ciputat,200,5,4,3840000000.0,2
dijual rumah di graha raya bintaro tangerang selatan lt 98 m2 11,nia utania ,Serpong,Serpong,Serpong Utara,110,2,1,1550000000.0,0
dijual rumah cluster strategis discovery aluvia bintaro jaya wd32790,widya suci ,Bintaro,,Bintaro,98,2,2,2100000000.0,0
dijual rumah dijual murah di serpong hanya 500 jutaan mojoo residence serpong,bunga salsabila ,Serpong,Serpong,Serpong,55,3,2,500000000.0,0
dijual griya loka bsd,andreas kurniawan ,Serpong,Serpong,Serpong,118,4,4,1950000000.0,0
dijual cluster strozzi summarecon serpong,adrian ong ,Serpong,Serpong,Serpong,92,3,2,2400000000.0,0
dijual rumah di cluster caribbean at flaminggo mewah dan ideal 2 lantai,antoni ,Gading Serpong,Pondok Aren,Pondok Aren,129,4,3,2989000000.0,0
